% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2025
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2025 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2025, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
197703	 -0.05633369	  0.03260058	  0.01184224	
197704	 -0.01032901	 -0.00883858	 -0.02500654	
197705	 -0.03332118	 -0.01420621	  0.01711153	
197706	 -0.00864477	  0.01557654	  0.02131602	
197707	 -0.04797844	 -0.01357351	  0.00144966	
197708	 -0.04286200	  0.00418159	  0.03236101	
197709	 -0.04744495	 -0.02160316	  0.00955317	
197710	 -0.03264378	 -0.00299758	 -0.01171720	
197711	 -0.01413313	  0.02537035	  0.00264034	
197712	  0.02184360	  0.03700739	 -0.00462444	
197801	 -0.04222161	 -0.00745734	  0.00636645	
197802	 -0.01929964	  0.01119200	  0.00270727	
197803	 -0.01023073	  0.00305676	  0.01500502	
197804	 -0.00805639	  0.01760854	  0.02308472	
197805	  0.01783673	  0.02102591	  0.01600690	
197806	  0.01073975	  0.01332505	  0.00999950	
197807	 -0.04356201	 -0.03670640	  0.02569966	
197808	  0.02052930	  0.03465909	 -0.00140460	
197809	 -0.00565282	 -0.01110552	 -0.02920765	
197810	 -0.10691945	 -0.10188948	  0.04567036	
197811	 -0.07501652	 -0.03542851	 -0.02900266	
197812	 -0.03418043	  0.03568307	 -0.00453097	
197901	 -0.01440727	  0.02706821	 -0.01087817	
197902	 -0.03296980	  0.00765570	 -0.02345606	
197903	 -0.04423462	  0.01975332	 -0.00203792	
197904	  0.00478472	  0.05502433	  0.02216162	
197905	 -0.08097956	 -0.04561946	 -0.01406950	
197906	 -0.01187941	  0.02127492	 -0.01214278	
197907	  0.02264797	  0.06271329	 -0.01906363	
197908	  0.01305040	  0.03691428	  0.00586222	
197909	 -0.07359716	 -0.06388385	  0.00130524	
197910	 -0.15447308	 -0.10704909	 -0.00706412	
197911	 -0.03883441	  0.00543371	 -0.07403055	
197912	 -0.00891616	  0.02607975	 -0.01040247	
198001	 -0.06313817	 -0.01949866	  0.00100541	
198002	 -0.09729581	 -0.04539253	  0.01627368	
198003	 -0.14217057	 -0.08757214	  0.02994381	
198004	 -0.05118416	 -0.03178045	 -0.01623630	
198005	  0.03280189	  0.07870487	 -0.00393587	
198006	 -0.01566810	  0.00378214	  0.01371114	
198007	 -0.03519421	 -0.01808971	 -0.00917213	
198008	  0.00723644	  0.05195176	  0.01656570	
198009	 -0.04756753	 -0.01648384	  0.01804179	
198010	 -0.01238973	  0.03378589	  0.02657372	
198011	 -0.02429895	  0.00134727	  0.02653416	
198012	 -0.05639731	 -0.01806163	  0.01939291	
198101	 -0.02291504	  0.00169444	  0.03327909	
198102	 -0.00754928	  0.00061179	  0.00090160	
198103	 -0.02147489	  0.01293751	  0.02090940	
198104	 -0.02817511	  0.00977441	 -0.02119140	
198105	  0.00737477	  0.02839085	 -0.02298277	
198106	  0.00135700	  0.03066047	  0.05604918	
198107	 -0.01763217	  0.01076856	 -0.02038374	
198108	 -0.07666692	 -0.04412805	 -0.00098809	
198109	 -0.15284600	 -0.12177768	  0.09810113	
198110	 -0.04551140	 -0.00442765	 -0.04948534	
198111	 -0.03166738	 -0.01213462	  0.06519300	
198112	 -0.02358742	  0.02391481	 -0.00330438	
198201	 -0.06997618	 -0.05556571	 -0.02018509	
198202	 -0.12233288	 -0.08332503	 -0.01215763	
198203	 -0.03094939	  0.00807643	  0.04154777	
198204	  0.00500120	  0.04369277	 -0.02995132	
198205	 -0.00224146	 -0.00717264	  0.02966996	
198206	 -0.01252347	  0.01958767	  0.04776314	
198207	  0.01257093	  0.01761608	 -0.01648322	
198208	 -0.05831918	 -0.03747059	 -0.00598873	
198209	 -0.02623736	  0.02271662	  0.04137366	
198210	 -0.04187155	 -0.00555004	 -0.03943777	
198211	 -0.00572726	  0.02543839	  0.01210727	
198212	  0.00379786	  0.03914617	 -0.03364760	
198301	 -0.02963851	  0.00520623	 -0.05447119	
198302	  0.00812226	  0.03859901	 -0.03265981	
198303	 -0.04961278	 -0.02785344	  0.04196209	
198304	 -0.00461908	  0.02455770	  0.03604726	
198305	 -0.07688049	 -0.04803618	  0.01854094	
198306	 -0.00384776	  0.04415118	 -0.00080960	
198307	 -0.04841123	 -0.02401982	  0.04285284	
198308	 -0.04242583	 -0.01143774	  0.04648331	
198309	 -0.02261566	  0.02611671	  0.00721436	
198310	  0.03644112	  0.06091725	  0.05816067	
198311	  0.01370513	  0.04986462	 -0.06886543	
198312	 -0.03522105	  0.01238093	  0.05144194	
198401	 -0.02519692	 -0.00721478	  0.06132256	
198402	 -0.04231888	 -0.02804698	  0.00893417	
198403	 -0.00982183	  0.02931887	  0.00765951	
198404	 -0.08444467	 -0.04701569	 -0.00146363	
198405	  0.00682961	  0.04395005	  0.02611593	
198406	 -0.01600858	  0.02614927	 -0.00361177	
198407	 -0.02663482	  0.01108539	  0.01588913	
198408	  0.00230374	  0.03313032	 -0.03330146	
198409	 -0.01898911	  0.01152923	  0.02693650	
198410	 -0.02988379	 -0.01151368	 -0.01134402	
198411	 -0.00231840	  0.00565695	  0.01802403	
198412	 -0.03602581	 -0.00331403	  0.00246035	
198501	 -0.00765290	  0.01619212	 -0.01782297	
198502	 -0.01410505	  0.00658756	  0.02936636	
